Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State,length_x,length_y,length_euclidean,angle_degrees,direction
Duel,00:44:26:020,Won,Ground,-,-,-,Thijs Mendonca,22,Den Bosch O17,72,90,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:44:26:020,Lost,Ground,-,-,-,Rayen S.,6,Helmond Sport O17,72,90,-,-,-,-,-,-,-,-,-,-,-,,,,,
Lost Possession,00:44:26:080,-,-,-,-,-,Thijs Mendonca,22,Den Bosch O17,73,90,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:44:26:770,Unsuccessful,Basic,-,-,High,Jorg,3,Helmond Sport O17,73,92,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:44:28:330,Successful,-,-,-,-,Luc Lombo,18,Den Bosch O17,79,83,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:44:28:380,Successful,Basic,-,-,High,Luc Lombo,18,Den Bosch O17,80,85,-,Keyane Ait Bahmad,14,78,90,-,-,-,-,-,-,-2,5,5,111.8,lateral
Duel,00:44:29:790,Won,Ground,-,-,-,Keyane Ait Bahmad,14,Den Bosch O17,78,90,-,-,-,-,-,-,-,-,-,-,-,,,,,
Duel,00:44:29:790,Lost,Ground,-,-,-,Rayen B.,22,Helmond Sport O17,78,90,-,-,-,-,-,-,-,-,-,-,-,,,,,
Pass,00:44:29:890,Successful,Basic,-,-,High,Keyane Ait Bahmad,14,Den Bosch O17,79,90,-,Senn Talakua,2,82,93,-,-,-,-,-,-,3,3,4,45.0,forward
Pass,00:44:31:220,Unsuccessful,Basic,-,-,Medium,Senn Talakua,2,Den Bosch O17,81,90,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:44:33:470,Successful,-,-,-,-,Kaan,5,Helmond Sport O17,55,50,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:44:34:980,Unsuccessful,Basic,-,-,Medium,Kaan,5,Helmond Sport O17,66,52,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Defensive Action,00:44:35:760,Successful,-,-,-,-,Huib Alberts,15,Den Bosch O17,80,63,-,-,-,-,-,Interception,-,-,-,-,-,,,,,
Pass,00:44:35:870,Unsuccessful,Basic,-,-,Medium,Huib Alberts,15,Den Bosch O17,79,62,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Pass,00:44:40:240,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,53,43,-,Keano,12,60,89,-,-,-,-,-,-,7,46,47,81.4,lateral
Pass,00:44:42:810,Successful,Basic,-,-,Medium,Keano,12,Helmond Sport O17,60,85,-,Jorg,3,48,73,-,-,-,-,-,-,-12,-12,17,-135.0,backward
Pass,00:44:44:670,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,47,74,-,Wessel,4,41,40,-,-,-,-,-,-,-6,-34,35,-100.0,lateral
Pass,00:44:50:690,Unsuccessful,Basic,-,-,High,Wessel,4,Helmond Sport O17,55,63,-,-,-,-,-,-,-,-,-,-,-,-100,-100,-100,-100.0,-
Foul,00:44:50:820,-,-,-,-,-,Luc Lombo,18,Den Bosch O17,62,57,-,Wessel,4,-,-,-,-,-,-,-,-,,,,,
Freekick,00:45:00:640,Successful,Pass,-,-,-,Loek,17,Helmond Sport O17,62,60,-,Jorg,3,46,69,-,-,-,-,-,-,,,,,
Pass,00:45:04:690,Successful,Basic,-,-,Medium,Jorg,3,Helmond Sport O17,47,67,-,Wessel,4,45,33,-,-,-,-,-,-,-2,-34,34,-93.4,lateral
Pass,00:45:06:530,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,43,37,-,Nasim,23,19,57,-,-,-,-,-,-,-24,20,31,140.2,backward
Pass,00:45:10:760,Successful,Basic,-,-,Medium,Nasim,23,Helmond Sport O17,22,55,-,Wessel,4,27,27,-,-,-,-,-,-,5,-28,28,-79.9,lateral
Pass,00:45:13:670,Successful,Basic,-,-,Medium,Wessel,4,Helmond Sport O17,30,29,-,Max,20,81,8,-,-,-,-,-,-,51,-21,55,-22.4,forward
Attacking Third Entry,00:45:18:720,-,-,-,-,-,Max,20,Helmond Sport O17,81,8,-,-,-,-,-,-,Left,-,-,-,-,,,,,
Defensive Action,00:45:20:560,Successful,-,-,-,-,Jasper Riemersma,3,Den Bosch O17,87,10,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:45:22:930,Successful,Basic,-,-,High,Jasper Riemersma,3,Den Bosch O17,86,5,-,Oscar Li,17,78,5,-,-,-,-,-,-,-8,0,8,180.0,backward
Defensive Action,00:45:24:310,Unsuccessful,-,-,-,-,Rayen S.,6,Helmond Sport O17,75,5,-,-,-,-,-,Tackle,-,-,-,-,-,,,,,
Pass,00:45:47:760,Successful,Throw-in,-,-,Low,Hassan Mustafa,20,Den Bosch O17,70,2,-,Oscar Li,17,61,7,-,-,-,-,-,-,-9,5,10,151.0,backward
Lost Possession,00:45:49:870,-,-,-,-,-,Oscar Li,17,Den Bosch O17,62,5,-,-,-,-,-,-,-,-,-,-,-,,,,,
