Event,Timestamp,Result,Type,Pass Outcome,Shot outcome,Pressure,Player Name,Shirt Number,Team Name,Start Position X,Start Position Y,Foot used,Receiver Name,Receiver Shirt Number,End Position X,End Position Y,Defensive Action,Side,Distribution,Goal Location,Booking,Game_State
Pass,01:35:06:420,Unsuccessful,Through Ball,Regular,-,High,Tarik Serdar,11,AFC O19,64,4,-,-,-,-,-,-,-,-,-,-,-
Gk Distribution,01:35:15:660,Successful,-,-,-,-,Kevin,1,FC Emmen O19,87,40,-,David,4,87,23,-,-,Throw,-,-,-
Pass,01:35:18:500,Successful,Basic,Regular,-,Medium,David,4,FC Emmen O19,85,27,-,Kevin,1,91,43,-,-,-,-,-,-
Pass,01:35:21:840,Unsuccessful,Basic,Regular,-,Medium,Kevin,1,FC Emmen O19,89,42,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:35:25:000,Successful,-,-,-,-,Ilyas Kacen,16,AFC O19,35,72,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:35:25:120,Unsuccessful,Basic,Regular,-,High,Ilyas Kacen,16,AFC O19,35,72,-,-,-,-,-,-,-,-,-,-,-
Duel,01:35:26:200,Won,Ground,-,-,-,Daan,21,FC Emmen O19,45,70,-,-,-,-,-,-,-,-,-,-,-
Duel,01:35:26:200,Lost,Ground,-,-,-,Nicolai de Kort,15,AFC O19,45,70,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:35:26:240,Successful,-,-,-,-,Daan,21,FC Emmen O19,44,71,-,-,-,-,-,Interception,-,-,-,-,-
Pass,01:35:26:330,Unsuccessful,Basic,Regular,-,High,Daan,21,FC Emmen O19,45,72,-,-,-,-,-,-,-,-,-,-,-
Pass,01:35:30:020,Successful,Basic,Regular,-,Medium,Ilyas Kacen,16,AFC O19,18,73,-,Storm Huijsman,20,4,55,-,-,-,-,-,-
Pass,01:35:34:120,Successful,Basic,Regular,-,Medium,Storm Huijsman,20,AFC O19,7,55,-,Tarik Serdar,11,54,34,-,-,-,-,-,-
Duel,01:35:37:860,Won,Ground,-,-,-,Tarik Serdar,11,AFC O19,55,35,-,-,-,-,-,-,-,-,-,-,-
Duel,01:35:37:860,Lost,Ground,-,-,-,David,4,FC Emmen O19,55,35,-,-,-,-,-,-,-,-,-,-,-
Pass,01:35:38:860,Successful,Basic,Regular,-,High,Tarik Serdar,11,AFC O19,54,36,-,Noach Shenkman,6,52,41,-,-,-,-,-,-
Pass,01:35:39:390,Successful,Basic,Regular,-,Medium,Noach Shenkman,6,AFC O19,52,42,-,Tarik Serdar,11,55,44,-,-,-,-,-,-
Pass,01:35:44:110,Successful,Basic,Regular,-,Medium,Tarik Serdar,11,AFC O19,62,34,-,Osa okunbor,9,73,7,-,-,-,-,-,-
Attacking Third Entry,01:35:46:120,-,-,-,-,-,Osa okunbor,9,AFC O19,73,8,-,-,-,-,-,-,Left,-,-,-,-
Dribbles,01:35:48:650,Unsuccessful,-,-,-,-,Osa okunbor,9,AFC O19,87,20,-,-,-,89,23,-,-,-,-,-,-
Lost Possession,01:35:50:220,-,-,-,-,-,David,4,FC Emmen O19,96,30,-,-,-,-,-,-,-,-,-,-,-
Defensive Action,01:35:50:220,Unsuccessful,-,-,-,-,David,4,FC Emmen O19,96,30,-,-,-,-,-,Clearance,-,-,-,-,-
Substitute,01:36:28:890,-,Tactical,-,-,-,D' Angelo,12,FC Emmen O19,45,97,-,Lars,17,-,-,-,-,-,-,-,-
Gk Distribution,01:36:39:170,Successful,-,-,-,-,Raff,3,FC Emmen O19,95,61,-,Kevin,1,96,50,-,-,Kick,-,-,-
